"","iso2c","iso3c","country","date","IC.CRD.LGL.XQ","unit","obs_status","footnote","last_updated"
"551","SS","SSD","South Sudan",2004,NA,NA,NA,NA,2013-02-22
"552","SS","SSD","South Sudan",2005,NA,NA,NA,NA,2013-02-22
"553","SS","SSD","South Sudan",2006,NA,NA,NA,NA,2013-02-22
"554","SS","SSD","South Sudan",2007,NA,NA,NA,NA,2013-02-22
"555","SS","SSD","South Sudan",2008,NA,NA,NA,NA,2013-02-22
"556","SS","SSD","South Sudan",2009,NA,NA,NA,NA,2013-02-22
"557","SS","SSD","South Sudan",2010,NA,NA,NA,NA,2013-02-22
"558","SS","SSD","South Sudan",2011,NA,NA,NA,NA,2013-02-22
"559","SS","SSD","South Sudan",2012,NA,NA,NA,NA,2013-02-22
"560","ST","STP","Sao Tome and Principe",2000,NA,NA,NA,NA,2013-02-22
"561","ST","STP","Sao Tome and Principe",2001,NA,NA,NA,NA,2013-02-22
"562","ST","STP","Sao Tome and Principe",2002,NA,NA,NA,NA,2013-02-22
"563","ST","STP","Sao Tome and Principe",2003,NA,NA,NA,NA,2013-02-22
"564","ST","STP","Sao Tome and Principe",2004,2,NA,NA,NA,2013-02-22
"565","ST","STP","Sao Tome and Principe",2005,2,NA,NA,NA,2013-02-22
"566","ST","STP","Sao Tome and Principe",2006,2,NA,NA,NA,2013-02-22
"567","ST","STP","Sao Tome and Principe",2007,2,NA,NA,NA,2013-02-22
"568","ST","STP","Sao Tome and Principe",2008,2,NA,NA,NA,2013-02-22
"569","ST","STP","Sao Tome and Principe",2009,2,NA,NA,NA,2013-02-22
"570","ST","STP","Sao Tome and Principe",2010,2,NA,NA,NA,2013-02-22
